ID,Nosaukums,Latitude,Longitude
349,Augstrozes Lielezers,57.5285278,25.0137778
350,Pūricas ezers ,57.3194167,25.0138889
351,Muižnieku ezers,57.16675,25.0175278
352,Ratnieku ezers,57.1638056,25.0285278
353,Dauguļu Mazezers,57.5468889,25.03325
354,Mazais Ozolmuižas ezers,57.6365556,25.0399444
355,Muižnieku ezers,57.2810278,25.0442222
356,Ķiržu ezers,57.2905833,25.0465278
357,Lielais Ozolmuižas ezers,57.6323889,25.0475833
358,Ķiruma ezers ,57.7788611,25.0591111
359,Noru dīķis,56.8471111,25.0641944
360,Rauskas ūdenskrātuve,57.9978056,25.0708889
361,Rustēgs ,57.3393333,25.08175
362,Mazstraudzes dzelve,57.2979167,25.0829444
363,Pečora ezers,56.8871389,25.1321667
364,Znotiņu ezers ,56.4982222,25.1365556
365,Auciema ezers,57.3288611,25.1466111
366,Vīķvēnu ezers,57.5106111,25.1520278
367,Melnezers,57.3611389,25.1552222
368,Raiskuma ezers,57.3143333,25.1627222
369,Driškins,57.36175,25.1706667
370,Bauņu dzirnavezers,57.7428889,25.1745556
371,Lielais Bauzis,57.4210278,25.1874167
372,Asaru ezers,57.1481111,25.1951389
373,Mazais Bauzis,57.4119444,25.2055556
374,Sēļu dīķis,57.8553056,25.2123056
375,Zilūža ezers,57.5975278,25.2398333
376,Burtnieku ezers ,57.7401944,25.2411944
377,Lielais Ansis,57.4688056,25.2443889
378,Plaužu ezers,56.8881667,25.2522222
379,Vaidavas ezers,57.4405,25.2751111
380,Lobes ezers,56.7213333,25.2754167
381,Ezerrožu ezers,57.0452778,25.2822222
382,Āraišu ezers,57.2501667,25.2868333
383,Rēveļu ezers,57.1404167,25.2886667
384,Ninieris,57.3377222,25.2941667
385,Vēķu ezers,57.2275278,25.3039722
386,Rezguļu ezers,57.0660278,25.3288889
387,Rābuta ezers,57.4305,25.3308333
388,Kocēnu ūdenskrātuve,57.5246111,25.3314722
389,Gaucis,57.2208611,25.3416111
390,Annas ezers ,57.0351667,25.3606944
391,Brandeļu dzirnavezers ,57.5288056,25.3639722
392,Štulvis,56.2509444,25.3703611
393,Kosas ezers,57.0885556,25.3756944
394,Mazums,57.2261667,25.3860278
395,Laņģezers,57.9903611,25.4163611
396,Zvannieku ezers,57.0361389,25.4237222
397,Sarkaņu ezers,57.0465,25.4268056
398,Saukas ezers,56.26425,25.4671389
399,Krīgānu ezers,56.2020556,25.4686667
400,Viņaukas ezers,56.1871111,25.4788333
401,Pļaviņu ūdenskrātuve,56.5935278,25.4882222
402,Mazsunākstes ezers,56.4477222,25.5011944
403,Sērmūkšu ezers,57.1268333,25.5058333
404,Startu ezers,57.4115278,25.5205
405,Brenguļu dzirnavezers,57.5468611,25.5304444
406,Ilzu ezers,56.1630833,25.53075
407,Lielais Klauces ezers,56.2857222,25.5676111
408,Piksteres ezers,56.4485,25.5706944
409,Dumblis,56.1578056,25.5769444
410,Bānūžu ezers,57.1453056,25.5909722
411,Mazais Klauces ezers,56.2869444,25.5965556
412,Gulbenes ezers ,57.2110556,25.6068333
413,Leimaņu ezers,57.02625,25.6235278
414,Vecmuižas ezers,56.8903333,25.6240278
415,Ilzes ezers,57.1336111,25.6248333
416,Ērgļu ūdenskrātuve,56.9018333,25.6429444
417,Ilzes ezers,57.2336389,25.6454444
418,Baltiņu ezers,56.52375,25.6458611
419,Stupēnu ezers,57.14225,25.6495833
420,Brenkūzis,57.1321944,25.6524167
421,Dabaru ezers,57.1512778,25.6525
422,Sūpes ezers,56.2789722,25.6555
423,Viesītes ezers,56.3510833,25.66225
424,Vasarāja ezers,56.3589722,25.6625278
425,Arāja ezers,57.1990556,25.6709444
426,Juveris,57.2213333,25.6736667
427,Cepšu ezers,57.8362222,25.67525
428,Kaupēnu ezers,57.2323056,25.6768056
429,Kapsētas ezers,57.1900833,25.6851389
430,Dutkas ezers,57.5119722,25.6854444
431,Pulgosnis ,56.8838056,25.6888611
432,Taurenes ezers,57.1615556,25.6941944
433,Baznīcas ezers,57.5271667,25.6971111
434,Vīķu ezers,56.5533889,25.6999722
435,Bezdibenis,57.8231667,25.7003889
436,Ilzins,56.8608333,25.7015278
437,Zobols,57.0745,25.7016944
438,Lubūzis,57.2820278,25.7054444
439,Raunaisis,57.2569722,25.7056389
440,Pakšēnu ezers,56.9220833,25.7068333
441,Sedas dīķi,57.7166111,25.7143333
442,Trikātas ezers,57.5411944,25.7149444
443,Rūķis,57.7564167,25.7149444
444,Odzes ezers,56.6686944,25.7151667
445,Zosins,56.8570556,25.7233056
446,Laišķenu ezers,56.8761944,25.7261944
447,Nomavas ezers,56.3078889,25.7275278
448,Stirnezers,56.8678611,25.73625
449,Lācīšu ezers,56.9750278,25.7364167
450,Kukris,57.7505278,25.7380278
451,Jumurdas ezers,56.9454444,25.7553611
452,Vecmuižas ezers,56.1304167,25.7558056
453,Klaucānu ezers,56.3516389,25.76075
454,Valdis,57.7481389,25.7704444
455,Alauksts,57.0935833,25.77325
456,Kūsītis,56.8707778,25.7762778
457,Priekulānu ezers,56.3521111,25.7765
458,Tauns,57.05875,25.77875
459,Auļukalna ezers,57.2261667,25.7847778
460,Dāmenezers,56.6728889,25.7881389
461,Inesis,57.032,25.7906111
462,Nedzis,57.0075833,25.80275
463,Alvīšezers,56.7687222,25.8065
464,Laipītis,56.8772222,25.8141667
465,Seisums,57.2328889,25.817
466,Rudiņu ezers,57.2023333,25.8231667
467,Kālezers,56.8595556,25.8256389
468,Bancānu ezers,56.3474722,25.8258056
469,Gailītis,57.1095556,25.8293333
470,Draudzesskolas ezers,57.2203056,25.8369722
471,Sudzērdiņš,56.8755833,25.83725
472,Lizdoles ezers,57.2937778,25.8381389
473,Brengūzis,57.2286389,25.8453056
474,Slieķu ezers,57.126,25.8459167
475,Zuju ezers,56.1148333,25.8486389
476,Sedas ezers,57.6952222,25.853
477,Radžu ūdenskrātuve,56.4778611,25.8575278
478,Sietnieku ezers,56.9057778,25.8585556
479,Krogus ezers,57.2279444,25.8596389
480,Pāvītes ezers,56.9866667,25.8600833
481,Kreiļu ezers,57.2072778,25.8644444
482,Bricu ezers,57.1152222,25.8704722
483,Salājs,56.8732778,25.8712222
484,Vidusezers,56.9055833,25.8738611
485,Bērzu ezers,57.8108333,25.8739444
486,Briņģu ezers,57.003,25.8775556
487,Ilziņš,56.8637778,25.8793056
488,Vārzgūnes ezers,56.3836111,25.8935556
489,Slīpju ezers,57.4917778,25.8980556
490,Mazais Subates ezers,55.9949722,25.8981667
491,Kaņepēnu ezers,56.8274167,25.9012222
492,Āzišķu ezers,56.02725,25.9122778
493,Asmenītis,56.8765833,25.9136667
494,Lielais Subates ezers,56.011,25.9186111
495,Svuiļu ezers,56.0306667,25.9217222
496,Talejas ezers,56.8634167,25.9225556
497,Patmalnieku ezers,56.0546389,25.9343611
498,Dūķis,57.2138056,25.945
499,Kazimirvāles ezers,55.9979444,25.9483056
500,Aiviekstes ūdenskrātuve,56.6485556,25.9514167
501,Spicieris,57.4209722,25.9583611
502,Viešūrs ,56.8965833,25.9681389
503,Zāģezers,57.7957222,25.9723611
504,Niedrājs,57.435,25.9735556
505,Ūbēris,56.9691944,25.9824444
506,Duniju ezers,57.2455556,25.9878333
507,Gulbēris,56.9898889,25.9920278
508,Baltiņu ezers,56.4988889,26.0047222
509,Laukezers,56.4910833,26.0075833
510,Baļotes ezers,56.5435556,26.0184167
511,Ildzenieku ezers,56.4895833,26.0232778
512,Lielais Līdēris,56.9467778,26.0259444
513,Mazais Līdēris,56.95825,26.0260556
514,Kalsnavas ezers,56.7439722,26.0346944
515,Pudulu ezers,56.7533333,26.0411667
516,Liezēris,57.0051944,26.0525833
517,Kaminčas ezers,55.9861111,26.053
518,Diņķēnu ezers,56.7754444,26.0541944
519,Leišu ezers,57.6758611,26.0569722
520,Lipielu ezers,56.8509722,26.0583889
521,Siežu ezers,56.9755833,26.0585556
522,Pabēržu ezers,55.9291111,26.0700833
523,Dziļūkstes ezers,56.9788333,26.073
524,Sviļu ezers,55.9697222,26.0754444
525,Baltezers,55.9614167,26.07925
526,Sezēris,56.9999444,26.0819444
527,Ilzines ezers,56.04975,26.0835833
528,Silabebru ezers,56.6046389,26.0843056
529,Lustbergas ezers,55.9308611,26.08475
530,Atstirves ezers,56.97,26.0853611
531,Sāvienas ezers,56.6646944,26.0953611
532,Labones ezers,56.7874722,26.1155
533,Pāķu ezers,56.4391111,26.1328889
534,Vadainis,57.5805278,26.1383333
535,Silavu ezers,56.4041111,26.1386389
536,Gruženieku ezers,56.4315833,26.1410833
537,Omberģis ,55.9202778,26.1418056
538,Garais ezers,56.4125,26.1463056
539,Vēderis,57.5908056,26.1466667
540,Pelšu ezers,56.8351667,26.153
541,Svētes ezers ,56.7681944,26.1543056
542,Salainis,57.5831667,26.1599722
543,Dūku ezers,56.7768333,26.1642222
544,Sētas ezers,57.5887778,26.1766944
545,Baltezers,56.6333333,26.1823333
546,Kalmodu ezers,57.2591389,26.1900833
547,Cepļu ezers,57.2550278,26.1913056
548,Garūlis,57.5925833,26.1928889
549,Šarlotes ezers,55.8843611,26.1956389
550,Iesalnieku ezers,56.3285556,26.1980833
551,Driksnis ,56.6762778,26.2113333
552,Jersikas ezers,56.2515556,26.21825
553,Baltiņu ezers,56.7983889,26.21875
554,Kārzdabas ezers,56.9865556,26.2199167
555,Rāceņu ezers,56.8303333,26.2213611
556,Marijas ezers ,55.8808611,26.2251667
557,Galiņu ezers,55.8152778,26.2308056
558,Sabaļa ezers,55.9970833,26.2363056
559,Lazdonas ezers,56.8261111,26.2392778
560,Salas ezers,56.844,26.2506389
561,Skujiņu ezers,55.8314444,26.2576667
562,Lielais Kumpinišku ezers,55.773,26.2641389
563,Kalna Bužezers,57.4393056,26.3048056
564,Sasaļu ezers,55.9301667,26.3053611
565,Mazais Ilgas ezers,55.7980556,26.3112222
566,Odzienas ezers,56.6525,26.3161111
567,Dziļais ezers,55.8538056,26.3161389
568,Lielais Ilgas ezers,55.8069444,26.3212222
569,Meduma ezers,55.791,26.3398333
570,Šķirsteņu ezers,55.8120833,26.3444722
571,Gerlaks ,56.2065556,26.3446111
572,Kurtavas ezers,56.6356944,26.3505
573,Lielais Virānes ezers,57.05775,26.3540278
574,Mazais Virānes ezers,57.0438889,26.3638611
575,Zvārtavas ezers,57.5341667,26.364
576,Marindzes ezers ,56.5624167,26.3698056
577,Kurcuma ezers,55.7301667,26.3720833
578,Mustera ezers,57.2654722,26.3725
579,Robežas ezers,55.7141944,26.3750278
580,Samaņkas ezers,55.70975,26.3818889
581,Islienas ezers,56.6552222,26.3822778
582,Kosinis ,56.0117778,26.3836667
583,Ādmiņu ezers,57.2653056,26.3999167
584,Siksalas ezers,56.6486667,26.4175556
585,Mindaugas ezers,56.6663056,26.4278889
586,Tolkajas ezers,56.6445,26.43125
587,Bedres ezers,56.9686667,26.4375556
588,Ļūbasts,55.9508889,26.4502778
589,Veiganta ezers,56.5912778,26.4626389
590,Boltazars,56.0683889,26.48225
591,Vērtēzis,56.6693056,26.4826389
592,Daguma ezers ,56.4706111,26.4974722
